symbol,stop_loss_exits,total_sell_row_pnl,avg_sell_row_pnl,worst_sell_row_pnl,avg_entry_confidence,entry_strategies,first_stop_time,last_stop_time
BEAT/USDT,24,-2.4678100000,-0.1028255961,-0.1425050000,0.939509,evo_allocator_rescue,2026-06-19 06:45:41,2026-06-19 08:01:47
BSB/USDT,9,-0.2387840000,-0.0265316034,-0.0437597000,0.908022,evo_allocator_rescue,2026-06-19 07:05:11,2026-06-19 07:53:42
GUA/USDT,4,-0.2317160000,-0.0579288956,-0.0595584000,0.940875,evo_allocator_rescue,2026-06-19 06:53:12,2026-06-19 07:00:22
EDEN/USDT,9,-0.1547440000,-0.0171937529,-0.0239534000,0.846217,evo_allocator_rescue,2026-06-19 07:10:35,2026-06-19 07:46:43
TRIA/USDT,4,-0.0349353000,-0.0087338352,-0.0102752000,0.916568,evo_allocator_rescue,2026-06-19 06:45:07,2026-06-19 08:02:07
HYPE/USDT,2,-0.0246959000,-0.0123479306,-0.0137310000,0.933843,evo_allocator_rescue,2026-06-19 07:52:31,2026-06-19 07:54:16
GENIUS/USDT,2,-0.0219677000,-0.0109838364,-0.0129817000,0.882324,evo_allocator_rescue,2026-06-19 07:16:38,2026-06-19 07:58:46
XMR/USDT,2,-0.0176760000,-0.0088380147,-0.0109639000,0.828124,evo_allocator_rescue,2026-06-19 07:56:02,2026-06-19 08:01:24
IN/USDT,1,-0.0095465700,-0.0095465677,-0.0095465700,0.798088,evo_allocator_rescue,2026-06-19 07:40:29,2026-06-19 07:40:29
TIA/USDT,1,-0.0062923800,-0.0062923776,-0.0062923800,0.950000,evo_allocator_rescue,2026-06-19 07:56:48,2026-06-19 07:56:48
