quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=ETH/USDT reason=downtrend_or_choppy regime=SYMBOL_TREND_DOWN
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=GENIUS/USDT reason=default_sideways signal=0.000988 breakout=0.000765 trend_quality=0.000000 momentum=0.000221 one_tick=-0.000060 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=GENIUS/USDT reason=default_sideways signal=0.000988 breakout=0.000765 trend_quality=0.000000 momentum=0.000221 one_tick=-0.000060 regime=SYMBOL_NEUTRAL
quant-1  | [PROFIT_ENGINE_GUARD] WATCHDOG action=CLOSE_WEAKEST regime=SIDEWAYS exposure_pct=0.0475 symbol=EDEN/USDT reason=sideways_hard_exposure_guard class=SIDEWAYS_SCALP effective=SIDEWAYS_SCALP ret_pct=-0.005683 unrealized=-0.007115
quant-1  | [PROFIT_ENGINE] selling symbol=EDEN/USDT reason=sideways_hard_exposure_guard qty=24.53614305 mark=0.05074000 pnl=-0.007115
quant-1  | [SELL_VALIDATION_REJECT] symbol=EDEN/USDT requested_qty=24.536143045463472 strategy=sideways_hard_exposure_guard reason=duplicate_latest_sell latest_id=869 source=profit_engine
quant-1  | [FILL_PERSISTENCE_ERROR] symbol=EDEN/USDT side=sell qty=24.536143045463472 error=AttributeError("'sqlite3.Cursor' object has no attribute 'rollback'") source=profit_engine
quant-1  | [PROFIT_ENGINE_GUARD] reducer_error='sqlite3.Cursor' object has no attribute 'rollback'
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=EDEN/USDT reason=downtrend_or_choppy regime=SYMBOL_TREND_DOWN
quant-1  | [PROFIT_ENGINE] track symbol=EDEN/USDT class=SIDEWAYS_SCALP ret=-0.5683% unreal=-0.007115 peak=0.004907 age_min=0.0
quant-1  | [PROFIT_ENGINE] selling symbol=EDEN/USDT reason=sideways_scalp_stop_loss qty=24.53614305 mark=0.05074000 pnl=-0.007115
quant-1  | [FILL_PERSISTENCE_ERROR] symbol=EDEN/USDT side=sell qty=24.536143045463472 error=OperationalError('cannot start a transaction within a transaction') source=profit_engine
quant-1  | [PROFIT_ENGINE] error=cannot start a transaction within a transaction
quant-1  | MARKET DATA REJECT invalid MOGU/USDT: 2.07e-09
quant-1  | MARKET TICK DATA RAW: {'BTC/USDT': 65566.6, 'ETH/USDT': 1846.93, 'SOL/USDT': 72.81, 'USDC/USDT': 1.00103, 'XRP/USDT': 1.2167, 'DOGE/USDT': 0.09281, 'BNB/USDT': 628.51, 'TRIA/USDT': 0.03074, 'TRX/USDT': 0.3343, 'BSB/USDT': 0.26758, 'ADA/USDT': 0.2051, 'USD1/USDT': 0.99971, 'INJ/USDT': 6.668, 'SUI/USDT': 0.8388, 'LTC/USDT': 47.8, 'HYPE/USDT': 75.16, 'BCH/USDT': 246.4, 'ZEC/USDT': 626.09, 'GOLD(PAXG)/USDT': 4432.5, 'FIL/USDT': 0.9451, 'TAO/USDT': 230.0, 'DOT/USDT': 1.117, 'TON/USDT': 1.922, 'TRUMP/USDT': 2.002, 'BILL/USDT': 0.08755, 'NEAR/USDT': 2.8797, 'BEAT/USDT': 1.32507, 'ULTIMA/USDT': 2343.24, 'MX/USDT': 1.7631, 'GUA/USDT': 1.09077, 'ONDO/USDT': 0.42425, 'ASTER/USDT': 0.6935, 'EDEN/USDT': 0.05071, 'EUR/USDT': 1.1607, 'ETHFI/USDT': 0.3702, 'GENIUS/USDT': 0.498, 'RAIN/USDT': 0.0144356, 'XMR/USDT': 361.15, 'UBOX/USDT': 0.0027, 'LINK/USDT': 8.417, 'DASH/USDT': 39.79, 'SHIB/USDT': 5.259e-06, 'PLAY/USDT': 0.09541, 'AVAX/USDT': 8.152, 'PENGU/USDT': 0.0072, 'WXT/USDT': 0.016827, 'ATOM/USDT': 1.885, 'IN/USDT': 0.11203, 'TTN/USDT': 0.05006, 'ATLA/USDT': 193.2518, 'PENDLE/USDT': 1.379, 'AIXDROP/USDT': 0.00022922, 'SENS/USDT': 0.0052, 'TIA/USDT': 0.3778, 'BDX/USDT': 0.07867, '9BIT/USDT': 0.050176, 'JGGL/USDT': 1.9861, 'CAKE/USDT': 1.302, 'BOB/USDT': 0.006667}
