quant-1  | INFO:     172.18.0.1:55236 - "GET /status HTTP/1.1" 200 OK
quant-1  | INFO:     172.18.0.1:55224 - "GET /status HTTP/1.1" 200 OK
quant-1  | INFO:     172.18.0.1:55240 - "GET /status HTTP/1.1" 200 OK
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=EDEN/USDT reason=default_sideways signal=0.000197 breakout=0.000000 trend_quality=0.000000 momentum=0.000197 one_tick=0.000000 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=EDEN/USDT reason=default_sideways signal=0.000197 breakout=0.000000 trend_quality=0.000000 momentum=0.000197 one_tick=0.000000 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=ETH/USDT reason=default_sideways signal=0.001056 breakout=0.000841 trend_quality=0.000000 momentum=-0.001706 one_tick=-0.000710 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=ETH/USDT reason=default_sideways signal=0.001056 breakout=0.000841 trend_quality=0.000000 momentum=-0.001706 one_tick=-0.000710 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=GENIUS/USDT reason=downtrend_or_choppy regime=SYMBOL_TREND_DOWN
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=GENIUS/USDT reason=downtrend_or_choppy regime=SYMBOL_TREND_DOWN
quant-1  | [PROFIT_ENGINE_GUARD] WATCHDOG action=CLOSE_WEAKEST regime=SIDEWAYS exposure_pct=0.0474 symbol=EDEN/USDT reason=sideways_hard_exposure_guard class=SIDEWAYS_SCALP effective=SIDEWAYS_SCALP ret_pct=-0.006075 unrealized=-0.007606
quant-1  | [PROFIT_ENGINE] selling symbol=EDEN/USDT reason=sideways_hard_exposure_guard qty=24.53614305 mark=0.05072000 pnl=-0.007606
quant-1  | [SELL_VALIDATION_REJECT] symbol=EDEN/USDT requested_qty=24.536143045463472 strategy=sideways_hard_exposure_guard reason=duplicate_latest_sell latest_id=869 source=profit_engine
quant-1  | [FILL_PERSISTENCE_ERROR] symbol=EDEN/USDT side=sell qty=24.536143045463472 error=AttributeError("'sqlite3.Cursor' object has no attribute 'rollback'") source=profit_engine
quant-1  | [PROFIT_ENGINE_GUARD] reducer_error='sqlite3.Cursor' object has no attribute 'rollback'
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=EDEN/USDT reason=default_sideways signal=0.000197 breakout=0.000000 trend_quality=0.000000 momentum=0.000197 one_tick=0.000000 regime=SYMBOL_NEUTRAL
quant-1  | [PROFIT_ENGINE] track symbol=EDEN/USDT class=SIDEWAYS_SCALP ret=-0.6075% unreal=-0.007606 peak=0.004907 age_min=0.0
quant-1  | [PROFIT_ENGINE] selling symbol=EDEN/USDT reason=sideways_scalp_stop_loss qty=24.53614305 mark=0.05072000 pnl=-0.007606
quant-1  | [FILL_PERSISTENCE_ERROR] symbol=EDEN/USDT side=sell qty=24.536143045463472 error=OperationalError('cannot start a transaction within a transaction') source=profit_engine
quant-1  | [PROFIT_ENGINE] error=cannot start a transaction within a transaction
quant-1  | MARKET DATA WARNING: ccxt ticker failed SOL/USDT: mexc GET https://api.mexc.com/api/v3/ticker/24hr?symbol=SOLUSDT
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=EDEN/USDT reason=default_sideways signal=0.000197 breakout=0.000000 trend_quality=0.000000 momentum=0.000197 one_tick=0.000000 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=EDEN/USDT reason=default_sideways signal=0.000197 breakout=0.000000 trend_quality=0.000000 momentum=0.000197 one_tick=0.000000 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=ETH/USDT reason=default_sideways signal=0.001056 breakout=0.000841 trend_quality=0.000000 momentum=-0.001706 one_tick=-0.000710 regime=SYMBOL_NEUTRAL
