quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00280 momentum=-0.00139 one_tick=-0.00181
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00198 momentum=-0.00197 one_tick=-0.00060
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00311 momentum=-0.00266 one_tick=-0.00053
quant-1  | ALLOCATOR SKIP ATLA/USDT: symbol_quarantined
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00192 momentum=-0.00508 one_tick=-0.00291
quant-1  | ALLOCATOR SKIP TIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=-0.00020 momentum=-0.00025 one_tick=0.00000
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=-0.00020 momentum=-0.00056 one_tick=-0.00002
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00304 momentum=-0.00228 one_tick=-0.00142
quant-1  | ALLOCATOR SKIP CAKE/USDT: strict_filter trend=-0.00165 momentum=-0.00154 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00383 momentum=-0.00121 one_tick=-0.00106
quant-1  | [BIG_LOSS_COOLDOWN] entry rejected symbol=ZEC/USDT reason=profit_giveback_exit
quant-1  | [BIG_LOSS_COOLDOWN] entry rejected symbol=BEAT/USDT reason=profit_giveback_exit
quant-1  | [BIG_LOSS_COOLDOWN] entry rejected symbol=ATLA/USDT reason=sideways_scalp_stop_loss
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | [ALLOCATOR_RESCUE] skipped reason=hard_exposure_gate exposure_pct=0.0473
