quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=-0.00281 momentum=-0.00244 one_tick=-0.00397
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=-0.00031 momentum=-0.00040 one_tick=0.00034
quant-1  | ALLOCATOR SKIP ONDO/USDT: cooldown
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00014 momentum=-0.00246 one_tick=-0.00217
quant-1  | ALLOCATOR SKIP EDEN/USDT: already_holding
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00633 momentum=-0.00329 one_tick=-0.00383
quant-1  | ALLOCATOR SKIP GENIUS/USDT: already_holding
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00370 momentum=-0.00047 one_tick=0.00223
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XMR/USDT: cooldown
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=-0.00232 momentum=-0.00108 one_tick=-0.00108
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00106 momentum=-0.00076 one_tick=0.00000
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00140 momentum=-0.00286 one_tick=-0.00248
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00163 momentum=-0.00116 one_tick=0.00021
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00279 momentum=-0.00136 one_tick=-0.00086
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00288 momentum=-0.00265 one_tick=-0.00209
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00187 momentum=-0.00125 one_tick=-0.00078
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00117 momentum=-0.00053 one_tick=-0.00106
quant-1  | ALLOCATOR SKIP IN/USDT: cooldown
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00233 momentum=-0.00180 one_tick=0.00040
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00625 momentum=-0.00730 one_tick=-0.00439
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=-0.00258 momentum=-0.00795 one_tick=-0.00486
quant-1  | ALLOCATOR SKIP TIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=-0.00040 momentum=-0.00051 one_tick=0.00000
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=-0.00031 momentum=-0.00040 one_tick=-0.00044
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00344 momentum=-0.00314 one_tick=-0.00198
quant-1  | ALLOCATOR SKIP CAKE/USDT: strict_filter trend=-0.00115 momentum=-0.00231 one_tick=-0.00231
quant-1  | [BIG_LOSS_COOLDOWN] entry rejected symbol=ZEC/USDT reason=profit_giveback_exit
quant-1  | [BIG_LOSS_COOLDOWN] entry rejected symbol=BEAT/USDT reason=profit_giveback_exit
quant-1  | [BIG_LOSS_COOLDOWN] entry rejected symbol=ATLA/USDT reason=sideways_scalp_stop_loss
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | [ALLOCATOR_RESCUE] skipped reason=hard_exposure_gate exposure_pct=0.0471
