quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00204 momentum=0.00153 one_tick=0.00191
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00358 momentum=0.00147 one_tick=0.00158
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00365 momentum=0.00098 one_tick=0.00322
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=-0.00080 momentum=0.00095 one_tick=0.00074
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00056 momentum=0.00069 one_tick=0.00075
quant-1  | ALLOCATOR SKIP ONDO/USDT: cooldown
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=-0.00036 momentum=0.00054 one_tick=0.00024
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00296 momentum=0.00049 one_tick=0.00197
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00402 momentum=0.00043 one_tick=0.00213
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=-0.00078 momentum=0.00030 one_tick=0.00090
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00345 momentum=0.00026 one_tick=0.00224
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=-0.00031 momentum=0.00023 one_tick=0.00028
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: strategy_threshold trend_ok=True momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00015 momentum=0.00001 one_tick=-0.00044 signal=0.00016
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=-0.00038 momentum=0.00013 one_tick=0.00013
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=-0.00003 momentum=0.00004 one_tick=0.00004
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=-0.00000 momentum=0.00001 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=-0.00319 momentum=-0.00216 one_tick=0.00073
quant-1  | ALLOCATOR SKIP ETH/USDT: already_holding
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00334 momentum=-0.00249 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00147 momentum=-0.00165 one_tick=0.00017
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00310 momentum=-0.00033 one_tick=0.00152
quant-1  | ALLOCATOR SKIP TRIA/USDT: strict_filter trend=-0.00255 momentum=-0.00065 one_tick=0.00065
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=-0.00144 momentum=-0.00120 one_tick=0.00337
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00742 momentum=-0.00329 one_tick=0.00207
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=-0.00376 momentum=0.00000 one_tick=0.00246
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00310 momentum=0.00000 one_tick=0.00271
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00302 momentum=-0.00157 one_tick=-0.00052
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00143 momentum=-0.00150 one_tick=0.00050
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00066 momentum=0.00000 one_tick=-0.00029
quant-1  | ALLOCATOR SKIP EDEN/USDT: already_holding
quant-1  | ALLOCATOR SKIP GENIUS/USDT: already_holding
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XMR/USDT: cooldown
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00210 momentum=-0.00227 one_tick=0.00228
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00132 momentum=-0.00074 one_tick=-0.00074
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00077 momentum=-0.00053 one_tick=0.00053
quant-1  | ALLOCATOR SKIP IN/USDT: cooldown
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00357 momentum=-0.00241 one_tick=0.00020
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=-0.00767 momentum=-0.00401 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00077 momentum=-0.00166 one_tick=-0.00090
quant-1  | [BIG_LOSS_COOLDOWN] entry rejected symbol=ZEC/USDT reason=profit_giveback_exit
quant-1  | [BIG_LOSS_COOLDOWN] entry rejected symbol=BEAT/USDT reason=profit_giveback_exit
quant-1  | [BIG_LOSS_COOLDOWN] entry rejected symbol=ATLA/USDT reason=sideways_scalp_stop_loss
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | [ALLOCATOR_RESCUE] skipped reason=hard_exposure_gate exposure_pct=0.0470
