quant-1  | ALLOCATOR SKIP BILL/USDT: strategy_threshold trend_ok=True momentum_ok=True long_trend_ok=True one_tick_ok=False trend=0.00280 momentum=0.00023 one_tick=0.00000 signal=0.00303
quant-1  | ALLOCATOR SKIP INJ/USDT: strict_filter trend=-0.00100 momentum=0.00144 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BSB/USDT: strategy_threshold trend_ok=True momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00114 momentum=0.00004 one_tick=0.00000 signal=0.00118
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00004 momentum=0.00114 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ONDO/USDT: strategy_threshold trend_ok=False momentum_ok=True long_trend_ok=True one_tick_ok=False trend=0.00024 momentum=0.00084 one_tick=-0.00063 signal=0.00108
quant-1  | ALLOCATOR SKIP XRP/USDT: strategy_threshold trend_ok=True momentum_ok=True long_trend_ok=True one_tick_ok=False trend=0.00045 momentum=0.00058 one_tick=-0.00025 signal=0.00103
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=0.00094 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00014 momentum=0.00093 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00101 momentum=0.00081 one_tick=0.00000
quant-1  | ALLOCATOR SKIP CAKE/USDT: strict_filter trend=-0.00004 momentum=0.00079 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=0.00070 momentum=-0.00150 one_tick=-0.00050
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00032 momentum=0.00065 one_tick=0.00003
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=0.00060 momentum=-0.00062 one_tick=-0.00062
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=-0.00042 momentum=0.00050 one_tick=0.00000
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strategy_threshold trend_ok=False momentum_ok=True long_trend_ok=True one_tick_ok=True trend=0.00023 momentum=0.00026 one_tick=0.00006 signal=0.00049
quant-1  | ALLOCATOR SKIP TRX/USDT: strategy_threshold trend_ok=False momentum_ok=True long_trend_ok=True one_tick_ok=False trend=0.00017 momentum=0.00030 one_tick=0.00000 signal=0.00047
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=-0.00223 momentum=0.00044 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=-0.00068 momentum=0.00040 one_tick=-0.00014
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: strategy_threshold trend_ok=False momentum_ok=True long_trend_ok=True one_tick_ok=True trend=0.00012 momentum=0.00022 one_tick=0.00015 signal=0.00034
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00041 momentum=0.00033 one_tick=-0.00033
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=0.00030 momentum=-0.00028 one_tick=-0.00113
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00190 momentum=0.00029 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00024 momentum=0.00001 one_tick=-0.00011 signal=0.00025
quant-1  | ALLOCATOR SKIP BDX/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00008 momentum=0.00013 one_tick=0.00013 signal=0.00020
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=0.00006 momentum=-0.00124 one_tick=-0.00136
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=-0.00001 momentum=0.00002 one_tick=0.00002
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=0.00000 momentum=-0.00054 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00106 momentum=-0.00014 one_tick=-0.00074
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00089 momentum=-0.00014 one_tick=-0.00070
quant-1  | ALLOCATOR SKIP TRIA/USDT: strict_filter trend=-0.00054 momentum=0.00000 one_tick=-0.00032
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=-0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00033 momentum=-0.00086 one_tick=-0.00064
quant-1  | ALLOCATOR SKIP HYPE/USDT: strict_filter trend=-0.00133 momentum=-0.00054 one_tick=-0.00054
quant-1  | ALLOCATOR SKIP ZEC/USDT: strict_filter trend=-0.00477 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=-0.00109 momentum=-0.00031 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00121 momentum=-0.00169 one_tick=-0.00169
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00074 momentum=-0.00106 one_tick=-0.00053
quant-1  | [ACTIVE_POSITION_WATCHDOG] closing symbol=XMR/USDT reason=sideways_max_hold_exit qty=0.00431100 mark=362.79000000 pnl=-0.023797
quant-1  | [FILL_PERSISTENCE_ERROR] symbol=XMR/USDT side=sell qty=0.00431100195215211 error=OperationalError('cannot start a transaction within a transaction') source=active_position_watchdog
quant-1  | [ACTIVE_POSITION_WATCHDOG] error=cannot start a transaction within a transaction
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=-0.00077 momentum=-0.00150 one_tick=-0.00150
quant-1  | ALLOCATOR SKIP BEAT/USDT: strict_filter trend=-0.00638 momentum=-0.00064 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=-0.00001 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ETHFI/USDT: already_holding
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strict_filter trend=-0.00149 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00061 momentum=-0.00157 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XMR/USDT: already_holding
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=-0.00008 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00191 momentum=-0.00054 one_tick=-0.00054
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00035 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00045 momentum=-0.00072 one_tick=-0.00024
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.00375 momentum=-0.00055 one_tick=-0.00055
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00023 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00131 momentum=-0.00058 one_tick=0.00027
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=-0.00180 momentum=-0.00527 one_tick=-0.00242
quant-1  | ALLOCATOR SKIP SENS/USDT: strict_filter trend=-0.00904 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00094 momentum=-0.00067 one_tick=-0.00067
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00018 momentum=0.00000 one_tick=0.00000
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=XMR/USDT reason=downtrend_or_choppy regime=SYMBOL_TREND_DOWN
