quant-1  | Time: 2026-06-04T04:55:38.083422Z
quant-1  | Market symbols: 59
quant-1  | Feature symbols: 59
quant-1  | Orders/applied fills: 0
quant-1  | Empty feature cycles: 0
quant-1  | No-trade reason: features_exist_but_no_orders
quant-1  | Note: main_loop_after_execution
quant-1  | Top features/signals:
quant-1  |   PLAY/USDT | source=NORMAL direction=None strength=0.0186 momentum=0.00331
quant-1  |   BILL/USDT | source=NORMAL direction=None strength=0.0084 momentum=0.00331
quant-1  |   BSB/USDT | source=NORMAL direction=None strength=0.0053 momentum=-0.00213
quant-1  |   ONDO/USDT | source=NORMAL direction=None strength=0.0045 momentum=0.00313
quant-1  |   BDX/USDT | source=NORMAL direction=None strength=0.0016 momentum=-0.00013
quant-1  | ========================================================================
quant-1  | 
quant-1  | [ACTIVE_POSITION_WATCHDOG] closing symbol=XMR/USDT reason=sideways_max_hold_exit qty=0.00431100 mark=360.54000000 pnl=-0.033496
quant-1  | [FILL_PERSISTENCE_ERROR] symbol=XMR/USDT side=sell qty=0.00431100195215211 error=OperationalError('cannot start a transaction within a transaction') source=active_position_watchdog
quant-1  | [ACTIVE_POSITION_WATCHDOG] error=cannot start a transaction within a transaction
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=XMR/USDT reason=default_sideways signal=0.000555 breakout=0.000460 trend_quality=0.000000 momentum=0.000555 one_tick=0.000555 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=XMR/USDT reason=default_sideways signal=0.000555 breakout=0.000460 trend_quality=0.000000 momentum=0.000555 one_tick=0.000555 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=ETHFI/USDT reason=downtrend_or_choppy regime=SYMBOL_TREND_DOWN
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=ETHFI/USDT reason=downtrend_or_choppy regime=SYMBOL_TREND_DOWN
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=BSB/USDT reason=default_sideways signal=0.005258 breakout=0.004808 trend_quality=0.000000 momentum=-0.002131 one_tick=0.000000 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=BSB/USDT reason=default_sideways signal=0.005258 breakout=0.004808 trend_quality=0.000000 momentum=-0.002131 one_tick=0.000000 regime=SYMBOL_NEUTRAL
quant-1  | [PROFIT_ENGINE_GUARD] WATCHDOG action=CLOSE_WEAKEST regime=SIDEWAYS exposure_pct=0.0551 symbol=XMR/USDT reason=sideways_hard_exposure_guard class=SIDEWAYS_SCALP effective=SIDEWAYS_SCALP ret_pct=-0.021096 unrealized=-0.033496
quant-1  | [PROFIT_ENGINE] selling symbol=XMR/USDT reason=sideways_hard_exposure_guard qty=0.00431100 mark=360.54000000 pnl=-0.033496
quant-1  | [SELL_VALIDATION_REJECT] symbol=XMR/USDT requested_qty=0.00431100195215211 strategy=sideways_hard_exposure_guard reason=duplicate_latest_sell latest_id=870 source=profit_engine
quant-1  | MARKET DATA REJECT invalid MOGU/USDT: 2.53e-09
quant-1  | MARKET TICK DATA RAW: {'BTC/USDT': 64445.8, 'ETH/USDT': 1807.0, 'SOL/USDT': 70.95, 'USDC/USDT': 1.00063, 'XRP/USDT': 1.2025, 'DOGE/USDT': 0.09084, 'BNB/USDT': 615.0, 'TRIA/USDT': 0.031, 'TRX/USDT': 0.333, 'BSB/USDT': 0.2341, 'ADA/USDT': 0.1992, 'USD1/USDT': 0.99957, 'INJ/USDT': 6.25, 'SUI/USDT': 0.8068, 'LTC/USDT': 46.55, 'HYPE/USDT': 73.37, 'BCH/USDT': 245.5, 'ZEC/USDT': 596.59, 'GOLD(PAXG)/USDT': 4473.04, 'FIL/USDT': 0.8795, 'TAO/USDT': 221.78, 'DOT/USDT': 1.075, 'TON/USDT': 1.785, 'TRUMP/USDT': 1.883, 'BILL/USDT': 0.08784, 'NEAR/USDT': 2.6409, 'BEAT/USDT': 1.3337, 'ULTIMA/USDT': 2330.5, 'MX/USDT': 1.7528, 'GUA/USDT': 0.96256, 'ONDO/USDT': 0.39483, 'ASTER/USDT': 0.67, 'EDEN/USDT': 0.04553, 'EUR/USDT': 1.1616, 'ETHFI/USDT': 0.3391, 'GENIUS/USDT': 0.46982, 'RAIN/USDT': 0.0142728, 'XMR/USDT': 360.54, 'UBOX/USDT': 0.0022, 'LINK/USDT': 8.23, 'DASH/USDT': 37.09, 'SHIB/USDT': 5.112e-06, 'PLAY/USDT': 0.10383, 'AVAX/USDT': 7.991, 'PENGU/USDT': 0.007, 'WXT/USDT': 0.016545, 'ATOM/USDT': 1.834, 'IN/USDT': 0.10919, 'TTN/USDT': 0.05046, 'ATLA/USDT': 192.6, 'PENDLE/USDT': 1.324, 'AIXDROP/USDT': 0.00022265, 'SENS/USDT': 0.00538, 'TIA/USDT': 0.3541, 'BDX/USDT': 0.07878, '9BIT/USDT': 0.046835, 'JGGL/USDT': 1.9433, 'CAKE/USDT': 1.259, 'BOB/USDT': 0.006503}
quant-1  | MARKET TICK DATA VALIDATED: {'BTC/USDT': 64445.8, 'ETH/USDT': 1807.0, 'SOL/USDT': 70.95, 'USDC/USDT': 1.00063, 'XRP/USDT': 1.2025, 'DOGE/USDT': 0.09084, 'BNB/USDT': 615.0, 'TRIA/USDT': 0.031, 'TRX/USDT': 0.333, 'BSB/USDT': 0.2341, 'ADA/USDT': 0.1992, 'USD1/USDT': 0.99957, 'INJ/USDT': 6.25, 'SUI/USDT': 0.8068, 'LTC/USDT': 46.55, 'HYPE/USDT': 73.37, 'BCH/USDT': 245.5, 'ZEC/USDT': 596.59, 'GOLD(PAXG)/USDT': 4473.04, 'FIL/USDT': 0.8795, 'TAO/USDT': 221.78, 'DOT/USDT': 1.075, 'TON/USDT': 1.785, 'TRUMP/USDT': 1.883, 'BILL/USDT': 0.08784, 'NEAR/USDT': 2.6409, 'BEAT/USDT': 1.3337, 'ULTIMA/USDT': 2330.5, 'MX/USDT': 1.7528, 'GUA/USDT': 0.96256, 'ONDO/USDT': 0.39483, 'ASTER/USDT': 0.67, 'EDEN/USDT': 0.04553, 'EUR/USDT': 1.1616, 'ETHFI/USDT': 0.3391, 'GENIUS/USDT': 0.46982, 'RAIN/USDT': 0.0142728, 'XMR/USDT': 360.54, 'UBOX/USDT': 0.0022, 'LINK/USDT': 8.23, 'DASH/USDT': 37.09, 'SHIB/USDT': 5.112e-06, 'PLAY/USDT': 0.10383, 'AVAX/USDT': 7.991, 'PENGU/USDT': 0.007, 'WXT/USDT': 0.016545, 'ATOM/USDT': 1.834, 'IN/USDT': 0.10919, 'TTN/USDT': 0.05046, 'ATLA/USDT': 192.6, 'PENDLE/USDT': 1.324, 'AIXDROP/USDT': 0.00022265, 'SENS/USDT': 0.00538, 'TIA/USDT': 0.3541, 'BDX/USDT': 0.07878, '9BIT/USDT': 0.046835, 'JGGL/USDT': 1.9433, 'CAKE/USDT': 1.259, 'BOB/USDT': 0.006503}
quant-1  | [POLICY_V2] feature_snapshot_upserted count=59
quant-1  | STRATEGY SCORE DEBUG: {'ready_features': 708, 'normal_features': 708, 'top_score': 0.621, 'top_matches': 1, 'top_strategy': 'evo_3698'}
quant-1  | ALLOCATOR BEST: strategy=evo_3698 score=0.6210 matches=1 db=/app/data/quant.db
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00267 momentum=0.00982 one_tick=0.00718
quant-1  | ALLOCATOR SKIP UBOX/USDT: strategy_threshold trend_ok=False momentum_ok=True long_trend_ok=False one_tick_ok=True trend=0.00023 momentum=0.01476 one_tick=0.01476 signal=0.01499
quant-1  | ALLOCATOR SKIP BILL/USDT: strategy_threshold trend_ok=True momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00246 momentum=0.00034 one_tick=0.00000 signal=0.00594
quant-1  | ALLOCATOR SKIP BSB/USDT: already_holding
quant-1  | ALLOCATOR SKIP ONDO/USDT: strategy_threshold trend_ok=True momentum_ok=True long_trend_ok=True one_tick_ok=False trend=0.00186 momentum=0.00206 one_tick=0.00000 signal=0.00404
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=-0.00440 momentum=0.00182 one_tick=0.00061
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00113 momentum=0.00180 one_tick=0.00013
quant-1  | ALLOCATOR SKIP SENS/USDT: strict_filter trend=-0.01321 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=0.00105 momentum=-0.00165 one_tick=-0.00152
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=0.00094 momentum=-0.00019 one_tick=0.00015
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00111 momentum=0.00086 one_tick=0.00086
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=-0.00128 momentum=0.00095 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00023 momentum=0.00093 one_tick=0.00093
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.00182 momentum=0.00082 one_tick=0.00000
quant-1  | ALLOCATOR SKIP JGGL/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00050 momentum=0.00021 one_tick=0.00010 signal=0.00071
quant-1  | ALLOCATOR SKIP TTN/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00046 momentum=0.00020 one_tick=0.00000 signal=0.00065
quant-1  | ALLOCATOR SKIP INJ/USDT: strict_filter trend=-0.00120 momentum=0.00064 one_tick=0.00064
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00109 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=0.00061 momentum=-0.00020 one_tick=0.00006
quant-1  | ALLOCATOR SKIP XMR/USDT: already_holding
quant-1  | ALLOCATOR SKIP ETHFI/USDT: already_holding
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00036 momentum=0.00046 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=-0.00006 momentum=0.00030 one_tick=0.00030
quant-1  | ALLOCATOR SKIP ZEC/USDT: strict_filter trend=0.00028 momentum=-0.00174 one_tick=0.00050
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00018 momentum=0.00027 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=-0.00070 momentum=0.00024 one_tick=-0.00036
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=-0.00044 momentum=0.00021 one_tick=0.00021
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=-0.00146 momentum=0.00018 one_tick=0.00117
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00079 momentum=-0.00059 one_tick=-0.00039
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00005 momentum=0.00012 one_tick=0.00012
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=0.00005 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=0.00002 momentum=-0.00004 one_tick=0.00002
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00024 momentum=-0.00064 one_tick=-0.00021
quant-1  | [ACTIVE_POSITION_WATCHDOG] closing symbol=XMR/USDT reason=sideways_max_hold_exit qty=0.00431100 mark=360.54000000 pnl=-0.033496
quant-1  | [FILL_PERSISTENCE_ERROR] symbol=XMR/USDT side=sell qty=0.00431100195215211 error=OperationalError('cannot start a transaction within a transaction') source=active_position_watchdog
quant-1  | [ACTIVE_POSITION_WATCHDOG] error=cannot start a transaction within a transaction
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00006 momentum=0.00000 one_tick=0.00014
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=-0.00001 momentum=-0.00001 one_tick=0.00001
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00107 momentum=-0.00042 one_tick=0.00017
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00108 momentum=-0.00033 one_tick=0.00011
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00004 momentum=-0.00024 one_tick=0.00005
quant-1  | ALLOCATOR SKIP TRIA/USDT: strict_filter trend=-0.00397 momentum=-0.00064 one_tick=-0.00032
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00070 momentum=0.00000 one_tick=0.00050
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=-0.00041 momentum=-0.00136 one_tick=-0.00074
quant-1  | ALLOCATOR SKIP HYPE/USDT: strict_filter trend=-0.00171 momentum=-0.00041 one_tick=-0.00041
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00187 momentum=-0.00081 one_tick=0.00000
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00112 momentum=0.00000 one_tick=0.00034
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00103 momentum=0.00000 one_tick=0.00106
quant-1  | ALLOCATOR SKIP BEAT/USDT: strict_filter trend=-0.00621 momentum=-0.00244 one_tick=-0.00244
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: strict_filter trend=-0.00013 momentum=-0.00010 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=-0.00019 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=-0.01505 momentum=-0.00361 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00725 momentum=-0.00179 one_tick=0.00090
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=-0.00156 momentum=0.00000 one_tick=-0.00044
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=-0.00002 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strict_filter trend=-0.00316 momentum=-0.00508 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00069 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00095 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00055 momentum=0.00000 one_tick=0.00000
