quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00049 momentum=-0.00088 one_tick=-0.00100
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00054 momentum=-0.00014 one_tick=-0.00129
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00033 momentum=-0.00073 one_tick=-0.00103
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00082 momentum=-0.00109 one_tick=0.00000
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.00255 momentum=-0.00147 one_tick=-0.00175
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=-0.00081 momentum=-0.00378 one_tick=-0.00248
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=-0.00129 momentum=-0.00283 one_tick=-0.00283
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00064 momentum=-0.00036 one_tick=-0.00082
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00060 momentum=-0.00077 one_tick=0.00000
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | [ALLOCATOR_RESCUE] skipped reason=hard_exposure_gate exposure_pct=0.0552
