quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00254 momentum=-0.00058 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strict_filter trend=-0.00131 momentum=-0.00227 one_tick=-0.00166
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00052 momentum=-0.00029 one_tick=-0.00038
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XMR/USDT: strict_filter trend=-0.00292 momentum=-0.00233 one_tick=-0.00228
quant-1  | ALLOCATOR SKIP UBOX/USDT: strict_filter trend=-0.00846 momentum=-0.03532 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=-0.00131 momentum=-0.00061 one_tick=-0.00061
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00445 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00103 momentum=-0.00018 one_tick=-0.00048
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00096 momentum=-0.00055 one_tick=-0.00055
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.00161 momentum=-0.00471 one_tick=0.00266
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00025 momentum=-0.00040 one_tick=-0.00020
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00118 momentum=-0.00542 one_tick=-0.00542
quant-1  | ALLOCATOR SKIP SENS/USDT: strict_filter trend=-0.01383 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=-0.00061 momentum=-0.00240 one_tick=-0.00441
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00108 momentum=-0.00036 one_tick=-0.00088
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | [ALLOCATOR_RESCUE] selected symbol=CAKE/USDT strategy=evo_allocator_rescue score=0.010939 signal=0.002247 breakout=0.001777 trend=0.000642 momentum=0.001605 one_tick=0.000000 value=1.2500 confidence=0.791
quant-1  | [ALLOCATOR_RESCUE] injected_orders count=1
