quant-1  | ALLOCATOR SKIP CAKE/USDT: already_holding
quant-1  | ALLOCATOR SKIP ONDO/USDT: strict_filter trend=-0.00078 momentum=0.00103 one_tick=0.00021
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00089 momentum=0.00094 one_tick=-0.00094
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strategy_threshold trend_ok=True momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00057 momentum=0.00002 one_tick=-0.00013 signal=0.00059
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00028 momentum=0.00016 one_tick=-0.00010 signal=0.00044
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=-0.00005 momentum=0.00009 one_tick=-0.00009
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=0.00005 momentum=-0.00011 one_tick=0.00000
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=0.00004 momentum=-0.00004 one_tick=-0.00001
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=-0.00132 momentum=-0.00339 one_tick=-0.00019
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00109 momentum=-0.00315 one_tick=-0.00025
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00161 momentum=-0.00382 one_tick=-0.00028
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=-0.00001 momentum=-0.00001 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00119 momentum=-0.00252 one_tick=-0.00042
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00289 momentum=-0.00145 one_tick=-0.00078
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00019 momentum=-0.00254 one_tick=-0.00002
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=-0.00207 momentum=-0.00150 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BSB/USDT: strict_filter trend=-0.00160 momentum=-0.00445 one_tick=-0.00030
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00189 momentum=-0.00303 one_tick=-0.00051
quant-1  | ALLOCATOR SKIP INJ/USDT: strict_filter trend=-0.00344 momentum=-0.00668 one_tick=-0.00032
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=-0.00130 momentum=-0.00112 one_tick=-0.00062
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00090 momentum=-0.00129 one_tick=-0.00021
quant-1  | ALLOCATOR SKIP HYPE/USDT: strict_filter trend=-0.00545 momentum=-0.00854 one_tick=-0.00072
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00201 momentum=-0.00287 one_tick=0.00041
quant-1  | ALLOCATOR SKIP ZEC/USDT: strict_filter trend=-0.00793 momentum=-0.00510 one_tick=-0.00094
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00172 momentum=-0.00114 one_tick=-0.00057
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=-0.00223 momentum=-0.00185 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00240 momentum=-0.00168 one_tick=-0.00056
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00200 momentum=-0.00108 one_tick=-0.00054
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=-0.00656 momentum=-0.01589 one_tick=-0.00637
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=-0.00369 momentum=-0.00581 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00068 momentum=-0.00389 one_tick=0.00000
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=-0.00152 momentum=-0.00022 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00326 momentum=-0.00585 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strict_filter trend=-0.00210 momentum=-0.00198 one_tick=-0.00017
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00129 momentum=-0.00195 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XMR/USDT: strict_filter trend=-0.00658 momentum=-0.00056 one_tick=-0.00008
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=-0.00247 momentum=-0.00220 one_tick=0.00086
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00408 momentum=-0.00194 one_tick=-0.00139
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00130 momentum=-0.00276 one_tick=-0.00079
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00073 momentum=-0.00493 one_tick=0.00149
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00138 momentum=-0.00164 one_tick=-0.00013
