quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=-0.00129 momentum=0.00025 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=0.00025 momentum=-0.00017 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00187 momentum=0.00020 one_tick=-0.00026
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00089 momentum=0.00017 one_tick=-0.00020
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00160 momentum=0.00013 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=0.00005 momentum=-0.00006 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=-0.00215 momentum=-0.00013 one_tick=-0.00023
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00287 momentum=-0.00057 one_tick=-0.00028
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=-0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00205 momentum=0.00000 one_tick=-0.00042
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00311 momentum=-0.00022 one_tick=-0.00011
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=-0.00200 momentum=0.00000 one_tick=-0.00030
quant-1  | ALLOCATOR SKIP BSB/USDT: strict_filter trend=-0.00272 momentum=-0.00004 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00235 momentum=0.00000 one_tick=-0.00051
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=-0.00001 momentum=-0.00001 one_tick=-0.00001
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00131 momentum=-0.00043 one_tick=-0.00064
quant-1  | ALLOCATOR SKIP HYPE/USDT: strict_filter trend=-0.00758 momentum=-0.00129 one_tick=-0.00158
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00238 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ZEC/USDT: strict_filter trend=-0.00829 momentum=-0.00027 one_tick=-0.00166
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00202 momentum=-0.00126 one_tick=-0.00069
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=-0.00285 momentum=-0.00032 one_tick=-0.00032
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00131 momentum=-0.00094 one_tick=-0.00094
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00344 momentum=-0.00393 one_tick=-0.00225
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00268 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=-0.00503 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00322 momentum=-0.00150 one_tick=-0.00105
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=-0.00218 momentum=-0.00044 one_tick=0.00000
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=-0.00006 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00529 momentum=-0.00147 one_tick=-0.00147
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XMR/USDT: strict_filter trend=-0.00502 momentum=-0.00025 one_tick=-0.00025
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=-0.00216 momentum=-0.00061 one_tick=-0.00061
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00203 momentum=-0.00020 one_tick=-0.00059
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00155 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00389 momentum=-0.00029 one_tick=0.00000
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00157 momentum=-0.00018 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00176 momentum=-0.00165 one_tick=-0.00110
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.00823 momentum=-0.00325 one_tick=-0.00325
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00230 momentum=-0.00074 one_tick=0.00000
quant-1  | ALLOCATOR SKIP SENS/USDT: strict_filter trend=-0.00595 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=-0.00287 momentum=-0.00085 one_tick=-0.00085
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00167 momentum=-0.00010 one_tick=-0.00021
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00060 momentum=-0.00016 one_tick=0.00000
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | [ALLOCATOR_RESCUE] no_candidate_passed
