quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00040 momentum=0.00012 one_tick=-0.00010
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=-0.00001 momentum=0.00009 one_tick=0.00009
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=0.00002 momentum=-0.00010 one_tick=-0.00010
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=-0.00000 momentum=-0.00001 one_tick=0.00000
quant-1  | ALLOCATOR SKIP HYPE/USDT: strict_filter trend=-0.00367 momentum=-0.00014 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00075 momentum=-0.00094 one_tick=-0.00094
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=-0.00003 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=-0.00441 momentum=-0.00276 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00254 momentum=-0.00030 one_tick=0.00000
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=-0.00233 momentum=-0.00155 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XMR/USDT: strict_filter trend=-0.00284 momentum=-0.00022 one_tick=-0.00022
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00168 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00233 momentum=-0.00073 one_tick=0.00000
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00096 momentum=-0.00006 one_tick=0.00006
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.01027 momentum=-0.00164 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00023 momentum=-0.00020 one_tick=-0.00020
