quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=-0.00023 momentum=0.00038 one_tick=0.00038
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=0.00030 momentum=-0.00202 one_tick=-0.00253
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=0.00030 momentum=-0.00110 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=0.00029 momentum=-0.00269 one_tick=-0.00196
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=0.00024 momentum=-0.00225 one_tick=-0.00150
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00023 momentum=0.00020 one_tick=0.00020
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=-0.00004 momentum=0.00013 one_tick=0.00019
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00009 momentum=0.00012 one_tick=0.00026
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=0.00008 momentum=-0.00158 one_tick=-0.00059
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=0.00005 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BILL/USDT: strict_filter trend=0.00005 momentum=-0.00293 one_tick=0.00082
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=0.00004 momentum=0.00000 one_tick=0.00006
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=0.00002 momentum=-0.00001 one_tick=-0.00002
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00001
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=-0.00017 momentum=-0.00051 one_tick=-0.00046
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00037 momentum=-0.00070 one_tick=-0.00067
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00091 momentum=-0.00213 one_tick=-0.00171
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00042 momentum=-0.00168 one_tick=-0.00143
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00026 momentum=-0.00200 one_tick=-0.00189
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00027 momentum=-0.00053 one_tick=-0.00041
quant-1  | ALLOCATOR SKIP BSB/USDT: strict_filter trend=-0.00030 momentum=-0.00712 one_tick=-0.00524
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00004 momentum=-0.00150 one_tick=0.00021
quant-1  | ALLOCATOR SKIP HYPE/USDT: strict_filter trend=-0.00021 momentum=-0.00301 one_tick=-0.00358
quant-1  | ALLOCATOR SKIP ZEC/USDT: strict_filter trend=-0.00188 momentum=-0.00843 one_tick=-0.00843
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=-0.00017 momentum=-0.00017 one_tick=-0.00013
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00002 momentum=-0.00354 one_tick=-0.00115
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00020 momentum=-0.00392 one_tick=-0.00112
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00008 momentum=-0.00163 one_tick=-0.00217
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: already_holding
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=-0.00366 momentum=-0.00542 one_tick=0.00215
quant-1  | ALLOCATOR SKIP ONDO/USDT: strict_filter trend=-0.00018 momentum=-0.00353 one_tick=-0.00379
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00105 momentum=-0.00286 one_tick=-0.00226
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=-0.00076 momentum=-0.00089 one_tick=-0.00044
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00115 momentum=-0.00206 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strict_filter trend=-0.00053 momentum=-0.00139 one_tick=0.00019
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP UBOX/USDT: strict_filter trend=-0.00107 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00071 momentum=-0.00610 one_tick=-0.00500
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00023 momentum=-0.00227 one_tick=-0.00277
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00030 momentum=-0.00363 one_tick=-0.00058
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00047 momentum=-0.00152 one_tick=-0.00109
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.01145 momentum=-0.02143 one_tick=-0.02029
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00102 momentum=-0.00588 one_tick=-0.00630
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=-0.00073 momentum=-0.00427 one_tick=-0.00200
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00036 momentum=-0.00125 one_tick=-0.00057
quant-1  | ALLOCATOR SKIP CAKE/USDT: cooldown
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | ENTRY QUALITY REJECTED: [{'symbol': 'SENS/USDT', 'reason': 'entry_quality_not_top_10'}]
quant-1  | [ALLOCATOR_RESCUE] selected symbol=TRIA/USDT strategy=evo_allocator_rescue score=0.021481 signal=0.004259 breakout=0.004077 trend=0.002990 momentum=0.001269 one_tick=0.000634 value=1.2499 confidence=0.918
quant-1  | [ALLOCATOR_RESCUE] injected_orders count=1
