quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00078 momentum=0.00036 one_tick=-0.00032
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00052 momentum=0.00035 one_tick=0.00012
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00112 momentum=0.00030 one_tick=0.00012
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00149 momentum=0.00029 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00077 momentum=0.00021 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TRIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=-0.00176 momentum=0.00012 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=0.00012 momentum=-0.00030 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00159 momentum=0.00011 one_tick=-0.00011
quant-1  | ALLOCATOR SKIP XMR/USDT: strict_filter trend=0.00010 momentum=-0.00045 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=0.00008 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: cooldown
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=0.00003 momentum=-0.00009 one_tick=-0.00009
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=0.00003 momentum=-0.00006 one_tick=0.00011
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=-0.00005 momentum=0.00003 one_tick=0.00012
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=0.00000 momentum=-0.00001 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ZEC/USDT: strict_filter trend=-0.01083 momentum=-0.00099 one_tick=0.00021
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00291 momentum=-0.00069 one_tick=-0.00069
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=-0.00251 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00202 momentum=0.00000 one_tick=-0.00056
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00240 momentum=-0.00045 one_tick=0.00000
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=-0.00132 momentum=-0.00022 one_tick=0.00000
