quant-1  | MARKET DATA REJECT invalid MOGU/USDT: 2.67e-09
quant-1  | MARKET TICK DATA RAW: {'BTC/USDT': 63884.03, 'ETH/USDT': 1783.22, 'SOL/USDT': 70.07, 'USDC/USDT': 1.00059, 'XRP/USDT': 1.1848, 'DOGE/USDT': 0.08941, 'BNB/USDT': 603.88, 'TRIA/USDT': 0.03139, 'TRX/USDT': 0.3321, 'BSB/USDT': 0.23225, 'ADA/USDT': 0.1968, 'USD1/USDT': 0.99966, 'INJ/USDT': 6.221, 'SUI/USDT': 0.7964, 'LTC/USDT': 46.46, 'HYPE/USDT': 69.47, 'BCH/USDT': 243.4, 'ZEC/USDT': 573.31, 'GOLD(PAXG)/USDT': 4463.96, 'FIL/USDT': 0.8653, 'TAO/USDT': 218.85, 'DOT/USDT': 1.059, 'TON/USDT': 1.77, 'TRUMP/USDT': 1.838, 'BILL/USDT': 0.0848, 'NEAR/USDT': 2.4413, 'BEAT/USDT': 1.38511, 'ULTIMA/USDT': 2331.46, 'MX/USDT': 1.7519, 'GUA/USDT': 0.9224, 'ONDO/USDT': 0.38467, 'ASTER/USDT': 0.6606, 'EDEN/USDT': 0.04485, 'EUR/USDT': 1.1615, 'ETHFI/USDT': 0.3359, 'GENIUS/USDT': 0.47056, 'RAIN/USDT': 0.0140307, 'XMR/USDT': 356.79, 'UBOX/USDT': 0.0024, 'LINK/USDT': 8.151, 'DASH/USDT': 35.75, 'SHIB/USDT': 5.038e-06, 'PLAY/USDT': 0.10062, 'AVAX/USDT': 7.891, 'PENGU/USDT': 0.006845, 'WXT/USDT': 0.016421, 'ATOM/USDT': 1.811, 'IN/USDT': 0.10081, 'TTN/USDT': 0.05037, 'ATLA/USDT': 182.5656, 'PENDLE/USDT': 1.331, 'AIXDROP/USDT': 0.00022093, 'SENS/USDT': 0.00565, 'TIA/USDT': 0.3485, 'BDX/USDT': 0.07872, '9BIT/USDT': 0.046901, 'JGGL/USDT': 1.9178, 'CAKE/USDT': 1.242, 'BOB/USDT': 0.00641}
quant-1  | MARKET TICK DATA VALIDATED: {'BTC/USDT': 63884.03, 'ETH/USDT': 1783.22, 'SOL/USDT': 70.07, 'USDC/USDT': 1.00059, 'XRP/USDT': 1.1848, 'DOGE/USDT': 0.08941, 'BNB/USDT': 603.88, 'TRIA/USDT': 0.03139, 'TRX/USDT': 0.3321, 'BSB/USDT': 0.23225, 'ADA/USDT': 0.1968, 'USD1/USDT': 0.99966, 'INJ/USDT': 6.221, 'SUI/USDT': 0.7964, 'LTC/USDT': 46.46, 'HYPE/USDT': 69.47, 'BCH/USDT': 243.4, 'ZEC/USDT': 573.31, 'GOLD(PAXG)/USDT': 4463.96, 'FIL/USDT': 0.8653, 'TAO/USDT': 218.85, 'DOT/USDT': 1.059, 'TON/USDT': 1.77, 'TRUMP/USDT': 1.838, 'BILL/USDT': 0.0848, 'NEAR/USDT': 2.4413, 'BEAT/USDT': 1.38511, 'ULTIMA/USDT': 2331.46, 'MX/USDT': 1.7519, 'GUA/USDT': 0.9224, 'ONDO/USDT': 0.38467, 'ASTER/USDT': 0.6606, 'EDEN/USDT': 0.04485, 'EUR/USDT': 1.1615, 'ETHFI/USDT': 0.3359, 'GENIUS/USDT': 0.47056, 'RAIN/USDT': 0.0140307, 'XMR/USDT': 356.79, 'UBOX/USDT': 0.0024, 'LINK/USDT': 8.151, 'DASH/USDT': 35.75, 'SHIB/USDT': 5.038e-06, 'PLAY/USDT': 0.10062, 'AVAX/USDT': 7.891, 'PENGU/USDT': 0.006845, 'WXT/USDT': 0.016421, 'ATOM/USDT': 1.811, 'IN/USDT': 0.10081, 'TTN/USDT': 0.05037, 'ATLA/USDT': 182.5656, 'PENDLE/USDT': 1.331, 'AIXDROP/USDT': 0.00022093, 'SENS/USDT': 0.00565, 'TIA/USDT': 0.3485, 'BDX/USDT': 0.07872, '9BIT/USDT': 0.046901, 'JGGL/USDT': 1.9178, 'CAKE/USDT': 1.242, 'BOB/USDT': 0.00641}
quant-1  | [POLICY_V2] feature_snapshot_upserted count=59
quant-1  | STRATEGY SCORE DEBUG: {'ready_features': 708, 'normal_features': 708, 'top_score': 0.5979, 'top_matches': 1, 'top_strategy': 'evo_1492'}
quant-1  | ALLOCATOR BEST: strategy=evo_1492 score=0.5979 matches=1 db=/app/data/quant.db
quant-1  | ALLOCATOR SKIP UBOX/USDT: strict_filter trend=0.01529 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP SENS/USDT: strict_filter trend=0.01382 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=0.00795 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strategy_threshold trend_ok=True momentum_ok=True long_trend_ok=True one_tick_ok=False trend=0.00214 momentum=0.00098 one_tick=0.00000 signal=0.00311
quant-1  | ALLOCATOR SKIP HYPE/USDT: strict_filter trend=-0.00318 momentum=0.00187 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00412 momentum=0.00080 one_tick=0.00040
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=0.00061 momentum=-0.00063 one_tick=0.00045
quant-1  | ALLOCATOR SKIP BEAT/USDT: cooldown
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=0.00035 momentum=-0.00001 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=0.00028 momentum=-0.00109 one_tick=-0.00109
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00005 momentum=0.00020 one_tick=0.00000
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=-0.00000 momentum=0.00009 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=0.00004 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=-0.00001
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=-0.00119 momentum=-0.00106 one_tick=0.00002
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00184 momentum=-0.00180 one_tick=0.00027
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00216 momentum=-0.00185 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00194 momentum=-0.00143 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00215 momentum=-0.00190 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00125 momentum=-0.00108 one_tick=-0.00010
quant-1  | ALLOCATOR SKIP TRIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=-0.00003 momentum=-0.00060 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BSB/USDT: strict_filter trend=-0.00108 momentum=-0.00060 one_tick=-0.00030
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00230 momentum=-0.00253 one_tick=0.00000
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=-0.00002 momentum=-0.00011 one_tick=0.00000
quant-1  | ALLOCATOR SKIP INJ/USDT: strict_filter trend=-0.00226 momentum=-0.00304 one_tick=-0.00273
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=-0.00198 momentum=-0.00263 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00131 momentum=-0.00193 one_tick=-0.00022
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00018 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ZEC/USDT: strict_filter trend=-0.01001 momentum=-0.00458 one_tick=-0.00188
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00398 momentum=-0.00460 one_tick=-0.00081
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=-0.00390 momentum=-0.00464 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00212 momentum=-0.00189 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00301 momentum=-0.00225 one_tick=-0.00056
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00168 momentum=-0.00271 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BILL/USDT: strict_filter trend=-0.00312 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=-0.00293 momentum=-0.01246 one_tick=0.00205
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: cooldown
quant-1  | ALLOCATOR SKIP ONDO/USDT: strict_filter trend=-0.00485 momentum=-0.00213 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00275 momentum=-0.00181 one_tick=0.00015
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=-0.00150 momentum=-0.00156 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00517 momentum=-0.00415 one_tick=0.00030
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00075 momentum=-0.00085 one_tick=0.00000
