quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00084 momentum=0.00041 one_tick=0.00000
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00156 momentum=0.00031 one_tick=0.00005
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00091 momentum=0.00028 one_tick=0.00028
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00120 momentum=0.00018 one_tick=-0.00012
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00157 momentum=0.00015 one_tick=0.00015
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=-0.00025 momentum=0.00013 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=-0.00004 momentum=0.00006 one_tick=0.00006
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=-0.00016 momentum=-0.00008 one_tick=0.00000
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=-0.00000 momentum=-0.00021 one_tick=-0.00002
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=0.00001 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=-0.00003 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=-0.00109 momentum=-0.00005 one_tick=-0.00019
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00151 momentum=-0.00005 one_tick=-0.00027
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00174 momentum=-0.00014 one_tick=0.00014
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00171 momentum=-0.00017 one_tick=-0.00017
quant-1  | [PORTFOLIO_RECONCILER] synced equity=99.9887 cash=99.9887 exposure=0.0000 realized=-0.0113 unrealized=0.0000 drawdown=-0.0113% regime=SIDEWAYS
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=-0.00044 momentum=-0.00030 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BSB/USDT: strict_filter trend=-0.00083 momentum=-0.00078 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00114 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=-0.00247 momentum=-0.00038 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00063 momentum=-0.00022 one_tick=0.00022
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00321 momentum=-0.00058 one_tick=0.00012
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00189 momentum=-0.00095 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00198 momentum=-0.00113 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00149 momentum=-0.00054 one_tick=0.00000
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=-0.00107 momentum=-0.00077 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00267 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strict_filter trend=-0.00188 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00232 momentum=-0.00259 one_tick=-0.00242
