quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=0.00079 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=0.00079 momentum=-0.00064 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=0.00076 momentum=-0.00203 one_tick=-0.00152
quant-1  | ALLOCATOR SKIP LINK/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=False one_tick_ok=True trend=0.00061 momentum=0.00012 one_tick=0.00049 signal=0.00073
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=0.00067 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=0.00064 momentum=-0.00110 one_tick=0.00055
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=0.00061 momentum=-0.00061 one_tick=-0.00046
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=0.00053 momentum=-0.00006 one_tick=0.00024
quant-1  | ALLOCATOR SKIP TRIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=0.00039 momentum=-0.00093 one_tick=-0.00068
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00020 momentum=0.00019 one_tick=-0.00002 signal=0.00039
quant-1  | ALLOCATOR SKIP BILL/USDT: strict_filter trend=-0.00068 momentum=-0.00059 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=0.00030 momentum=-0.00057 one_tick=-0.00143
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=0.00028 momentum=-0.00078 one_tick=-0.00078
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: cooldown
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=0.00016 momentum=-0.00436 one_tick=-0.00318
