quant-1  | ALLOCATOR SKIP XMR/USDT: strict_filter trend=-0.00017 momentum=0.00146 one_tick=0.00146
quant-1  | ALLOCATOR SKIP ZEC/USDT: cooldown
quant-1  | ALLOCATOR SKIP TRIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP BSB/USDT: strict_filter trend=0.00085 momentum=-0.00017 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strict_filter trend=-0.00095 momentum=0.00023 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00064 momentum=0.00078 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=0.00065 momentum=-0.00056 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00105 momentum=0.00055 one_tick=-0.00111
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00070 momentum=-0.00041 one_tick=-0.00041
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00035 momentum=0.00018 one_tick=0.00023 signal=0.00053
quant-1  | ALLOCATOR SKIP BILL/USDT: strict_filter trend=-0.00295 momentum=-0.00035 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00101 momentum=-0.00224 one_tick=-0.00224
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=0.00024 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=-0.00019 momentum=0.00018 one_tick=0.00002
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=0.00012 momentum=-0.00025 one_tick=0.00013
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=0.00006 momentum=0.00000 one_tick=0.00030
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=0.00001 momentum=0.00000 one_tick=-0.00006
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=0.00001 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=-0.00104 momentum=-0.00044 one_tick=-0.00049
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00093 momentum=-0.00020 one_tick=-0.00068
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00060 momentum=-0.00071 one_tick=-0.00057
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00092 momentum=-0.00042 one_tick=-0.00008
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00048 momentum=-0.00022 one_tick=-0.00067
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00025 momentum=-0.00041 one_tick=-0.00076
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00109 momentum=-0.00051 one_tick=-0.00153
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=-0.00001 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP INJ/USDT: strict_filter trend=-0.00080 momentum=-0.00112 one_tick=-0.00080
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=-0.00164 momentum=-0.00050 one_tick=-0.00050
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00086 momentum=-0.00043 one_tick=-0.00086
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00045 momentum=-0.00185 one_tick=-0.00208
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=-0.00148 momentum=-0.00123 one_tick=-0.00123
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00071 momentum=0.00000 one_tick=-0.00095
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00133 momentum=-0.00055 one_tick=-0.00163
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=-0.00314 momentum=-0.00127 one_tick=-0.00414
quant-1  | ALLOCATOR SKIP ONDO/USDT: strict_filter trend=-0.00121 momentum=-0.00104 one_tick=-0.00112
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00165 momentum=-0.00076 one_tick=-0.00091
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00027 momentum=-0.00060 one_tick=-0.00060
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00085 momentum=-0.00050 one_tick=-0.00011
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=-0.00019 momentum=0.00000 one_tick=-0.00062
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00053 momentum=-0.00280 one_tick=-0.00280
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00099 momentum=-0.00060 one_tick=-0.00080
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00159 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00065 momentum=-0.00152 one_tick=-0.00140
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00157 momentum=-0.00103 one_tick=-0.00117
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00011 momentum=-0.00018 one_tick=0.00006
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.00180 momentum=-0.00600 one_tick=-0.00178
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=-0.00180 momentum=-0.00144 one_tick=-0.00144
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=-0.00004 momentum=0.00000 one_tick=-0.00011
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00099 momentum=-0.00084 one_tick=-0.00047
quant-1  | ALLOCATOR SKIP CAKE/USDT: cooldown
quant-1  | INFO:     172.18.0.1:42898 - "GET /status HTTP/1.1" 200 OK
quant-1  | [QUALITY_RANK] top-0: 
