quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00022 momentum=0.00140 one_tick=0.00063
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00238 momentum=-0.00072 one_tick=0.00028
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00003 momentum=0.00131 one_tick=0.00104
quant-1  | ALLOCATOR SKIP LINK/USDT: strategy_threshold trend_ok=False momentum_ok=True long_trend_ok=True one_tick_ok=True trend=0.00027 momentum=0.00098 one_tick=0.00098 signal=0.00126
quant-1  | ALLOCATOR SKIP ETH/USDT: strategy_threshold trend_ok=False momentum_ok=True long_trend_ok=True one_tick_ok=True trend=0.00001 momentum=0.00116 one_tick=0.00088 signal=0.00117
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00053 momentum=0.00114 one_tick=0.00086
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00027 momentum=0.00110 one_tick=0.00051
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00158 momentum=0.00109 one_tick=0.00164
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00057 momentum=0.00108 one_tick=0.00108
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00082 momentum=0.00100 one_tick=0.00100
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00214 momentum=0.00084 one_tick=0.00000
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00046 momentum=0.00073 one_tick=0.00055
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=-0.00070 momentum=0.00063 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=-0.00049 momentum=0.00063 one_tick=0.00033
quant-1  | ALLOCATOR SKIP ONDO/USDT: strict_filter trend=-0.00241 momentum=0.00060 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00064 momentum=0.00041 one_tick=0.00041
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00109 momentum=0.00051 one_tick=0.00051
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00094 momentum=0.00047 one_tick=0.00047
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00213 momentum=-0.00075 one_tick=0.00075
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=-0.00017 momentum=0.00035 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TRX/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00005 momentum=0.00030 one_tick=0.00000 signal=0.00035
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00018 momentum=0.00034 one_tick=0.00078
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=-0.00007 momentum=0.00021 one_tick=-0.00011
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=0.00012 momentum=-0.00018 one_tick=-0.00036
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: cooldown
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=0.00001 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=0.00000 momentum=-0.00001 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TRIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP BSB/USDT: strict_filter trend=-0.00046 momentum=-0.00126 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00254 momentum=0.00000 one_tick=0.00113
quant-1  | ALLOCATOR SKIP BILL/USDT: strict_filter trend=-0.00199 momentum=0.00000 one_tick=0.00071
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=-0.00009 momentum=-0.00023 one_tick=-0.00017
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00077 momentum=-0.00175 one_tick=-0.00160
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00148 momentum=-0.00552 one_tick=-0.00552
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00101 momentum=0.00000 one_tick=-0.00015
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00158 momentum=-0.00055 one_tick=-0.00166
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.00152 momentum=-0.00069 one_tick=-0.00039
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00023 momentum=-0.00040 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=-0.00013 momentum=-0.00013 one_tick=-0.00025
quant-1  | [QUALITY_RANK] top-2: BEAT/USDT(qs=0.0104,sig=0.0039), XMR/USDT(qs=0.0074,sig=0.0033)
quant-1  | ENTRY QUALITY TOP 10: [('BEAT/USDT', 0.010391, 0.003852335606498669), ('XMR/USDT', 0.007415, 0.003260900922198773)]
