quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=0.00173 momentum=-0.00302 one_tick=-0.00076
quant-1  | ALLOCATOR SKIP RAIN/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00030 momentum=0.00125 one_tick=0.00190 signal=0.00155
quant-1  | ALLOCATOR SKIP ZEC/USDT: cooldown
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=0.00147 momentum=-0.00301 one_tick=-0.00301
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=0.00137 momentum=-0.00327 one_tick=-0.00209
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=0.00119 momentum=-0.00147 one_tick=-0.00184
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=0.00119 momentum=-0.00136 one_tick=-0.00068
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=0.00118 momentum=-0.00095 one_tick=0.00190
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=0.00116 momentum=-0.00141 one_tick=-0.00048
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strict_filter trend=0.00113 momentum=-0.00221 one_tick=-0.00221
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=0.00113 momentum=-0.00352 one_tick=-0.00352
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=0.00112 momentum=-0.00159 one_tick=-0.00198
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=0.00101 momentum=-0.00374 one_tick=-0.00201
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=0.00078 momentum=-0.00123 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=0.00082 momentum=-0.00167 one_tick=-0.00067
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=0.00077 momentum=-0.00342 one_tick=-0.00152
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00305 momentum=-0.01090 one_tick=-0.00848
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=0.00075 momentum=-0.00254 one_tick=-0.00069
quant-1  | ALLOCATOR SKIP TRIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=0.00064 momentum=-0.00263 one_tick=-0.00123
quant-1  | ALLOCATOR SKIP CAKE/USDT: cooldown
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=0.00064 momentum=-0.00257 one_tick=-0.00043
quant-1  | ALLOCATOR SKIP HYPE/USDT: strict_filter trend=-0.00451 momentum=-0.01061 one_tick=0.00102
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=0.00063 momentum=-0.00435 one_tick=-0.00272
quant-1  | ALLOCATOR SKIP BSB/USDT: strict_filter trend=-0.00011 momentum=0.00061 one_tick=0.00061
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=0.00051 momentum=-0.00146 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=0.00051 momentum=-0.00129 one_tick=0.00000
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00003 momentum=0.00045 one_tick=0.00032 signal=0.00048
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=0.00045 momentum=-0.00164 one_tick=-0.00098
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=-0.00301 momentum=-0.00111 one_tick=-0.00133
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=0.00041 momentum=-0.00228 one_tick=-0.00042
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=0.00036 momentum=-0.00203 one_tick=-0.00102
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00004 momentum=0.00030 one_tick=0.00029 signal=0.00034
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=0.00031 momentum=-0.00140 one_tick=-0.00013
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00010 momentum=0.00015 one_tick=0.00021 signal=0.00025
quant-1  | ALLOCATOR SKIP ONDO/USDT: strict_filter trend=0.00020 momentum=-0.00013 one_tick=-0.00138
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=0.00005 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=0.00003 momentum=-0.00154 one_tick=-0.00052
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: cooldown
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=0.00002 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=0.00001 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=-0.00000 momentum=-0.00001 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00017 momentum=-0.00057 one_tick=-0.00057
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=-0.00012 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00039 momentum=-0.00252 one_tick=-0.00056
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00150 momentum=-0.00131 one_tick=-0.00091
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=0.00000 momentum=-0.00111 one_tick=0.00000
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.00206 momentum=-0.00010 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00134 momentum=-0.00020 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00150 momentum=-0.00299 one_tick=-0.00150
quant-1  | [QUALITY_RANK] top-1: BEAT/USDT(qs=0.0255,sig=0.0086)
quant-1  | ENTRY QUALITY TOP 10: [('BEAT/USDT', 0.025503, 0.008642494562724035)]
quant-1  | [ALLOCATOR_RESCUE] selected symbol=BEAT/USDT strategy=evo_allocator_rescue score=0.045544 signal=0.008642 breakout=0.008918 trend=0.003050 momentum=0.003085 one_tick=0.004022 value=1.2498 confidence=0.950
quant-1  | [ALLOCATOR_RESCUE] injected_orders count=1
