quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00177 momentum=-0.00141 one_tick=0.00028
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00161 momentum=-0.00204 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00449 momentum=-0.00442 one_tick=0.00089
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00089 momentum=-0.00128 one_tick=-0.00031
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00147 momentum=-0.00167 one_tick=0.00112
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.00804 momentum=-0.00080 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00090 momentum=-0.00100 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00366 momentum=-0.00485 one_tick=-0.00182
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00121 momentum=-0.00226 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=-0.00314 momentum=-0.00058 one_tick=0.00145
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00136 momentum=-0.00089 one_tick=0.00115
quant-1  | ALLOCATOR SKIP CAKE/USDT: cooldown
quant-1  | [QUALITY_RANK] top-2: XMR/USDT(qs=0.0100,sig=0.0031), 9BIT/USDT(qs=0.0057,sig=0.0024)
quant-1  | ENTRY QUALITY TOP 10: [('XMR/USDT', 0.009985, 0.003102716078262846), ('9BIT/USDT', 0.00568, 0.002366495092763099)]
