quant-1  | ALLOCATOR SKIP SENS/USDT: strict_filter trend=0.00969 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BEAT/USDT: cooldown
quant-1  | ALLOCATOR SKIP TRIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP HYPE/USDT: strict_filter trend=-0.00245 momentum=0.00480 one_tick=0.00087
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00354 momentum=0.00306 one_tick=0.00087
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strategy_threshold trend_ok=True momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00132 momentum=0.00136 one_tick=0.00181 signal=0.00268
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00118 momentum=0.00220 one_tick=0.00110
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strategy_threshold trend_ok=True momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00131 momentum=0.00013 one_tick=0.00000 signal=0.00207
quant-1  | ALLOCATOR SKIP BSB/USDT: strict_filter trend=0.00186 momentum=-0.00030 one_tick=-0.00030
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=0.00173 momentum=-0.00041 one_tick=-0.00016
quant-1  | ALLOCATOR SKIP ONDO/USDT: strict_filter trend=-0.00024 momentum=0.00170 one_tick=-0.00042
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: cooldown
quant-1  | ALLOCATOR SKIP CAKE/USDT: cooldown
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strict_filter trend=-0.00164 momentum=0.00129 one_tick=0.00000
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=-0.00197 momentum=0.00127 one_tick=0.00038
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00099 momentum=0.00115 one_tick=0.00057
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00047 momentum=0.00111 one_tick=0.00056
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00067 momentum=0.00100 one_tick=-0.00020
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00023 momentum=0.00100 one_tick=-0.00042
quant-1  | ALLOCATOR SKIP INJ/USDT: strict_filter trend=-0.00341 momentum=0.00097 one_tick=0.00049
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00138 momentum=0.00095 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=-0.00163 momentum=0.00092 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00352 momentum=0.00091 one_tick=0.00091
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00026 momentum=0.00087 one_tick=-0.00032
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00073 momentum=0.00087 one_tick=0.00022
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00020 momentum=0.00085 one_tick=0.00007
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00089 momentum=0.00079 one_tick=-0.00045
quant-1  | ALLOCATOR SKIP BILL/USDT: strict_filter trend=0.00062 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00035 momentum=0.00060 one_tick=0.00040
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00285 momentum=0.00059 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00271 momentum=0.00057 one_tick=-0.00057
quant-1  | ALLOCATOR SKIP BTC/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00035 momentum=0.00021 one_tick=-0.00026 signal=0.00057
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00136 momentum=0.00051 one_tick=0.00000
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00057 momentum=0.00049 one_tick=0.00024
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00124 momentum=0.00046 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00060 momentum=0.00041 one_tick=-0.00082
quant-1  | ALLOCATOR SKIP MX/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00009 momentum=0.00017 one_tick=0.00000 signal=0.00026
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=-0.00023 momentum=-0.00013 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00198 momentum=0.00009 one_tick=0.00000
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=0.00000 momentum=-0.00001 one_tick=-0.00002
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=-0.00018 momentum=-0.00030 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00077 momentum=0.00000 one_tick=-0.00051
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=-0.00000 momentum=-0.00001 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ZEC/USDT: cooldown
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00224 momentum=-0.00070 one_tick=-0.00105
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=-0.00815 momentum=-0.00251 one_tick=-0.00251
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=-0.00239 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=-0.00012 momentum=-0.00009 one_tick=0.00000
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00035 momentum=-0.00014 one_tick=0.00001
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=-0.00090 momentum=-0.00025 one_tick=-0.00012
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00148 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.01408 momentum=-0.00272 one_tick=-0.00543
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.00267 momentum=-0.00371 one_tick=-0.00371
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00064 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=-0.00158 momentum=-0.00029 one_tick=-0.00058
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=-0.00006 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00161 momentum=-0.00094 one_tick=0.00000
quant-1  | [QUALITY_RANK] top-1: XMR/USDT(qs=0.0241,sig=0.0094)
quant-1  | ENTRY QUALITY TOP 10: [('XMR/USDT', 0.024071, 0.009377711463688154)]
