quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00356 momentum=0.00058 one_tick=0.00058
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=0.00052 momentum=0.00000 one_tick=0.00038
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=0.00053 momentum=-0.00100 one_tick=-0.00060
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00041 momentum=0.00051 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00027 momentum=0.00047 one_tick=0.00047
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=0.00041 momentum=0.00000 one_tick=0.00075
quant-1  | ALLOCATOR SKIP RAIN/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00007 momentum=0.00022 one_tick=0.00000 signal=0.00029
quant-1  | ALLOCATOR SKIP BILL/USDT: strict_filter trend=-0.00025 momentum=-0.00106 one_tick=-0.00047
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00038 momentum=0.00022 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=0.00008 momentum=-0.00013 one_tick=-0.00013
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=0.00006 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=-0.00001 momentum=-0.00011 one_tick=-0.00011
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=-0.00012 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP HYPE/USDT: strict_filter trend=-0.00166 momentum=-0.00233 one_tick=-0.00189
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00150 momentum=0.00000 one_tick=0.00041
quant-1  | ALLOCATOR SKIP ZEC/USDT: cooldown
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=-0.00055 momentum=-0.00928 one_tick=-0.00928
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00120 momentum=-0.00015 one_tick=0.00044
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00123 momentum=-0.00063 one_tick=0.00094
quant-1  | [QUALITY_RANK] top-1: XMR/USDT(qs=0.0113,sig=0.0049)
quant-1  | ENTRY QUALITY TOP 10: [('XMR/USDT', 0.011255, 0.004876692978645347)]
quant-1  | ENTRY QUALITY REJECTED: [{'symbol': 'SENS/USDT', 'reason': 'entry_quality_not_top_10'}]
quant-1  | [ALLOCATOR_RESCUE] selected symbol=PLAY/USDT strategy=evo_allocator_rescue score=0.121088 signal=0.020955 breakout=0.020742 trend=0.003328 momentum=0.017627 one_tick=0.010523 value=1.2498 confidence=0.950
quant-1  | [ALLOCATOR_RESCUE] injected_orders count=1
