quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=0.00156 momentum=-0.00090 one_tick=0.00023
quant-1  | ALLOCATOR SKIP UBOX/USDT: strict_filter trend=-0.00157 momentum=-0.00036 one_tick=0.00000
quant-1  | ALLOCATOR SKIP AVAX/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00099 momentum=0.00026 one_tick=0.00026 signal=0.00124
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=0.00015 momentum=-0.00008 one_tick=0.00011
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: cooldown
quant-1  | ALLOCATOR SKIP INJ/USDT: strict_filter trend=0.00105 momentum=-0.00178 one_tick=-0.00065
quant-1  | ALLOCATOR SKIP BTC/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00061 momentum=0.00038 one_tick=-0.00003 signal=0.00099
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00014 momentum=0.00095 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=0.00087 momentum=0.00000 one_tick=0.00012
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=0.00085 momentum=0.00000 one_tick=0.00055
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00056 momentum=0.00082 one_tick=-0.00041
quant-1  | ALLOCATOR SKIP TIA/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=False one_tick_ok=True trend=0.00047 momentum=0.00029 one_tick=0.00058 signal=0.00076
quant-1  | ALLOCATOR SKIP CAKE/USDT: cooldown
quant-1  | ALLOCATOR SKIP LTC/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00026 momentum=0.00043 one_tick=0.00043 signal=0.00069
quant-1  | ALLOCATOR SKIP SUI/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=False one_tick_ok=True trend=0.00040 momentum=0.00013 one_tick=0.00025 signal=0.00053
quant-1  | ALLOCATOR SKIP BNB/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00021 momentum=0.00025 one_tick=-0.00022 signal=0.00046
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00103 momentum=0.00044 one_tick=0.00029
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00007 momentum=0.00040 one_tick=0.00020
quant-1  | ALLOCATOR SKIP TRIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP DOGE/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00000 momentum=0.00034 one_tick=0.00000 signal=0.00034
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=0.00031 momentum=0.00000 one_tick=0.00026
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=0.00026 momentum=0.00000 one_tick=0.00020
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=0.00020 momentum=-0.00025 one_tick=0.00051
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=-0.00006 momentum=-0.00208 one_tick=0.00073
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=0.00015 momentum=-0.00030 one_tick=0.00091
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=0.00014 momentum=-0.00035 one_tick=-0.00006
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=0.00012 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=0.00011 momentum=-0.00056 one_tick=0.00000
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=0.00008 momentum=-0.00021 one_tick=0.00014
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=0.00008 momentum=-0.00037 one_tick=-0.00010
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=-0.00007 momentum=-0.00027 one_tick=-0.00027
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=-0.00007 momentum=0.00000 one_tick=0.00006
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=0.00002 momentum=-0.00009 one_tick=-0.00009
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=0.00002 momentum=0.00000 one_tick=-0.00001
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00013 momentum=-0.00029 one_tick=-0.00014
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00201 momentum=0.00000 one_tick=0.00058
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=-0.00100 momentum=-0.00231 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=-0.00601 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00006 momentum=-0.00012 one_tick=-0.00006
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00099 momentum=-0.00142 one_tick=0.00000
quant-1  | [QUALITY_RANK] top-2: XMR/USDT(qs=0.0147,sig=0.0057), BSB/USDT(qs=0.0059,sig=0.0020)
quant-1  | ENTRY QUALITY TOP 10: [('XMR/USDT', 0.014693, 0.005717788302796012), ('BSB/USDT', 0.005896, 0.0020115741911908014)]
quant-1  | [ALLOCATOR_RESCUE] selected symbol=PLAY/USDT strategy=evo_allocator_rescue score=0.092452 signal=0.017780 breakout=0.017409 trend=0.012419 momentum=0.005361 one_tick=0.004947 value=1.2498 confidence=0.950
quant-1  | [ALLOCATOR_RESCUE] injected_orders count=1
